% r                       z                        imag(ewfd.Hr)
99.21520930387788         11.692298090244119       -7.610862699086251E-11
99.47680620258525         11.564706663337356       4.014935866193516E-11
99.73840310129262         11.437115236430593       -1.8943446322372402E-11
100                       11.309523809523832       -5.3155557598575487E-11
99.47680620258525         11.961532060162746       1.278641854262066E-10
99.73840310129266         11.833940633255985       2.617497556560927E-11
100                       11.706349206349222       -1.2519083036048539E-11
99.73840310129262         12.230766030081371       3.0074857840930015E-10
100.00000000000001        12.103174603174613       -9.627730579963388E-12
100                       12.5                     4.73585724789688E-10
99.08075969020553         11.961532060162746       -3.940291231293285E-10
99.3423565889129          12.230766030081373       -7.04370834364776E-12
99.60395348762026         12.5                     3.745931642349321E-10
98.94631007653317         12.230766030081371       -4.1934338636815695E-10
99.20790697524055         12.500000000000002       -2.0496944216250048E-10
98.8118604628608          12.5                     -4.884680325487369E-11
99.11012814951565         10.703194874541019       2.7557925901257888E-11
99.4067520996771          10.508479122709893       -2.7819394820753102E-11
99.70337604983855         10.31376337087877        -2.7061590012625485E-11
100                       10.119047619047642       -1.920388004477926E-11
99.4067520996771          10.905304519535289       -9.061204340712018E-12
99.70337604983857         10.710588767704166       -2.3914204363257595E-11
100                       10.515873015873039       -5.1469777529938525E-12
99.70337604983855         11.107414164529562       -4.0548778021120135E-11
100.00000000000001        10.912698412698438       -4.2839678480497124E-12
97.62452819987254         12.5                     -1.3766827544776387E-11
97.80033348970704         12.150736564120573       -3.861098388942653E-10
97.97613877954154         11.80147312824114        -3.887516024461464E-10
98.15194406937609         11.452209692361713       2.5775627781174038E-11
98.02030562086864         12.500000000000002       -2.1853601696042414E-10
98.19611091070315         12.150736564120571       -7.089680182052136E-12
98.37191620053764         11.801473128241142       3.323935729086826E-10
98.41608304186472         12.5                     2.622366874202654E-10
98.59188833169927         12.150736564120574       3.257571204886334E-10
99.0849083664857          9.529495430766362        -1.2241799042883293E-11
99.38993891099048         9.329187430034725        -1.0502335117637907E-11
99.69496945549524         9.128879429303085        -2.447740003366909E-11
100                       8.928571428571448        -2.813736254671579E-11
99.38993891099048         9.72601282686012         -1.2622882214820424E-11
99.69496945549525         9.525704826128486        -1.4590173926609772E-11
100                       9.325396825396847        -8.488300967306718E-12
99.69496945549524         9.92253022295388         -1.9212222036958876E-11
100.00000000000001        9.722222222222246        -6.74215765338295E-12
96.94554119595477         11.531437878341062       -5.941988579299244E-12
97.1718701972607          11.85429191889404        3.125415950603128E-10
97.39819919856663         12.177145959447019       3.2083176925142175E-10
96.7753797865657          11.85429191889404        -3.4469900816453796E-10
97.00170878787165         12.177145959447024       -7.1800673917228655E-12
97.22803778917755         12.5                     2.7111986359985263E-10
96.60521837717661         12.177145959447019       -3.4207261636528715E-10
