           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
           -0.988           -4.446            -4.94      0.015212708   -0.00088293542      0.050879844     0.0019769187      0.045071062     -0.044008564
           -0.494           -4.446            -4.94     0.0079437364   -0.00044171428      0.053154748      0.001992489      0.047578014      -0.04433224
    8.8817842e-16           -4.446            -4.94   -7.8423182e-07   -7.3301862e-07      0.053940985     0.0019930056      0.048438523     -0.044439711
            0.494           -4.446            -4.94     -0.007943878    0.00044182007      0.053156346     0.0019876792       0.04758282     -0.044333063
            0.988           -4.446            -4.94     -0.015212258    0.00088291185      0.050879702     0.0019768346        0.0450713     -0.044008583
            1.482           -4.446            -4.94     -0.020868042       0.00132182       0.04724453      0.001951232      0.040955581      -0.04340899
            1.976           -4.446            -4.94     -0.026069097      0.001760826      0.043328226     0.0019231773      0.036489733     -0.042738315
             2.47           -4.446            -4.94      -0.02877008     0.0021969364      0.038758386      0.001880719      0.031035107     -0.041745126
            2.964           -4.446            -4.94      -0.03091863     0.0026322629      0.034171917     0.0018347723      0.025485137     -0.040674035
            3.458           -4.446            -4.94     -0.031265721     0.0030647535      0.029779481     0.0017768557      0.019863494     -0.039335988
            3.952           -4.446            -4.94     -0.031075409     0.0034953482      0.025668399     0.0017149544      0.014442106     -0.037886877
            4.446           -4.446            -4.94     -0.030074254     0.0039230827      0.021981832     0.0016470407     0.0093228687     -0.036270183
             4.94           -4.446            -4.94     -0.028633632     0.0043443525      0.019599611     0.0015996547     0.0059418436     -0.035126761
            5.434           -4.446            -4.94     -0.026941486     0.0047619231      0.017963907     0.0015640174     0.0035556529     -0.034254208
           -5.434           -3.952            -4.94      0.030444499    -0.0048305755      0.017624853      0.002098711     0.0067324769     -0.035222284
            -4.94           -3.952            -4.94       0.03270667    -0.0044001252      0.019416019     0.0021398778     0.0095398268     -0.036112573
           -4.446           -3.952            -4.94      0.034723487    -0.0039680642      0.022055047     0.0021939473      0.013551452     -0.037278995
           -3.952           -3.952            -4.94      0.036311612    -0.0035331873      0.026175488     0.0022705612      0.019667231      -0.03892789
           -3.458           -3.952            -4.94      0.036984362    -0.0030966925      0.030879114     0.0023388469      0.026262274     -0.040405065
           -2.964           -3.952            -4.94      0.037050422    -0.0026591248      0.035969261     0.0024016132      0.033174962     -0.041768428
            -2.47           -3.952            -4.94      0.034890387    -0.0022192299      0.041445278     0.0024502804      0.040167581     -0.042858262
           -1.976           -3.952            -4.94      0.032029927    -0.0017786917      0.046941917      0.002495002      0.047083478     -0.043868359
           -1.482           -3.952            -4.94      0.025864635    -0.0013357801      0.051789649     0.0025247401      0.052883163     -0.044549052
           -0.988           -3.952            -4.94      0.019065879   -0.00089221937      0.056312501     0.0025509587      0.058250755     -0.045157831
           -0.494           -3.952            -4.94      0.010010903   -0.00044625925      0.059199624     0.0025664642      0.061572466     -0.045485869
    8.8817842e-16           -3.952            -4.94   -9.0083631e-07   -4.0492023e-07      0.060201168     0.0025669141      0.062718168     -0.045594376
            0.494           -3.952            -4.94     -0.010011479    0.00044610645      0.059199065     0.0025610121      0.061576631     -0.045487925
            0.988           -3.952            -4.94      -0.01906587    0.00089205522      0.056312196     0.0025513575      0.058250822      -0.04515738
            1.482           -3.952            -4.94     -0.025864836     0.0013354955      0.051789775     0.0025246053       0.05288342     -0.044548791
            1.976           -3.952            -4.94     -0.032030329     0.0017784738      0.046941899     0.0024950395      0.047083519     -0.043868463
             2.47           -3.952            -4.94     -0.034890607     0.0022188434      0.041445181     0.0024503346      0.040167615     -0.042858303
            2.964           -3.952            -4.94     -0.037050478     0.0026586319       0.03596912     0.0024016821      0.033174995      -0.04176838
            3.458           -3.952            -4.94     -0.036984492     0.0030965155      0.030879062     0.0023389861      0.026262278     -0.040404961
            3.952           -3.952            -4.94     -0.036311679     0.0035333082      0.026175497     0.0022707519      0.019667253     -0.038927726
            4.446           -3.952            -4.94     -0.034723263     0.0039684549      0.022055075     0.0021941613      0.013551568     -0.037278779
             4.94           -3.952            -4.94     -0.032706428     0.0044004451      0.019416086     0.0021401043     0.0095399274     -0.036112346
            5.434           -3.952            -4.94     -0.030444391     0.0048306296      0.017624969      0.002098944     0.0067325016     -0.035222068
           -5.434           -3.458            -4.94      0.034136415    -0.0048873094      0.016619081     0.0026239844     0.0098914988     -0.036013111
            -4.94           -3.458            -4.94      0.037082914    -0.0044464748      0.018504234     0.0026695116       0.01316814     -0.036917917
           -4.446           -3.458            -4.94      0.039813016    -0.0040057111      0.021317422      0.002728754      0.017893985     -0.038103074
           -3.952           -3.458            -4.94      0.042165015    -0.0035650702      0.025752109     0.0028119599      0.025151927     -0.039778076
           -3.458           -3.458            -4.94      0.043521501    -0.0031238152      0.030947026     0.0028849384       0.03313743     -0.041277558
           -2.964           -3.458            -4.94      0.044218186    -0.0026821534      0.036645807     0.0029511382      0.041605137     -0.042660706
            -2.47           -3.458            -4.94      0.042215675    -0.0022388997      0.042988315     0.0030019875      0.050412524     -0.043764431
           -1.976           -3.458            -4.94       0.03933591    -0.0017951151       0.04940816     0.0030485722       0.05918603     -0.044786837
           -1.482           -3.458            -4.94       0.03210986    -0.0013486027      0.055265982     0.0030792237      0.066757567     -0.045474358
