           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
           9.2125          -9.2125          -4.7905      -0.35742816       0.62284327     -0.073125191        -1.205554       0.25248048        1.8485805
           9.9495          -9.2125          -4.7905      -0.28692648       0.58769459      -0.14165513       -1.1269041       0.31081587         1.808064
          -9.9495          -8.4755          -4.7905       0.35753819      -0.63844848     -0.072874971        -1.247116       0.16385756        1.8537475
          -9.2125          -8.4755          -4.7905       0.44475168      -0.68222779      0.010428227       -1.3343323       0.10384547        1.8893013
          -8.4755          -8.4755          -4.7905       0.53386462      -0.72122532        0.1813606       -1.4996196    -0.0025657564        1.9466401
          -7.7385          -8.4755          -4.7905       0.61943173      -0.75283128       0.39316356       -1.6843326      -0.10881855        1.9947486
          -7.0015          -8.4755          -4.7905       0.69514853      -0.77376795       0.63380927       -1.8739164      -0.20270461        2.0262532
          -6.2645          -8.4755          -4.7905       0.75318611      -0.77989566       0.90016711       -2.0657599      -0.28184596        2.0405865
          -5.5275          -8.4755          -4.7905       0.78013057       -0.7637468        1.1852086       -2.2542658      -0.34338042        2.0368402
          -4.7905          -8.4755          -4.7905       0.76721072      -0.72096598        1.4720089       -2.4305556      -0.38853231        2.0180731
          -4.0535          -8.4755          -4.7905        0.7146787      -0.65249747        1.7417674        -2.586937      -0.42186275        1.9901125
          -3.3165          -8.4755          -4.7905       0.62721992      -0.56145978        1.9795581       -2.7177341      -0.44674435        1.9579209
          -2.5795          -8.4755          -4.7905       0.51199585      -0.45223263        2.1753213       -2.8200638      -0.46531031        1.9257487
          -1.8425          -8.4755          -4.7905       0.37679282      -0.32952073        2.3205659       -2.8922193      -0.47846124        1.8978692
          -1.1055          -8.4755          -4.7905       0.23009828      -0.19876832        2.4184153       -2.9386635      -0.48704496        1.8768238
          -0.3685          -8.4755          -4.7905      0.076801315     -0.063235015        2.4643798       -2.9594035      -0.49073768        1.8660029
           0.3685          -8.4755          -4.7905     -0.078174487      0.073507875        2.4646692       -2.9587696      -0.49015221        1.8656844
           1.1055          -8.4755          -4.7905      -0.23132111       0.20883504        2.4158838       -2.9352124      -0.48503357        1.8766552
           1.8425          -8.4755          -4.7905      -0.37835705       0.33964929        2.3189628       -2.8879659      -0.47554353        1.8973095
           2.5795          -8.4755          -4.7905      -0.51327163       0.46192262        2.1722276       -2.8139386      -0.46149915        1.9254056
           3.3165          -8.4755          -4.7905       -0.6289708       0.57118291         1.977219       -2.7113225      -0.44254023        1.9578524
           4.0535          -8.4755          -4.7905      -0.71609044       0.66171497        1.7391424       -2.5798066      -0.41734943        1.9905353
           4.7905          -8.4755          -4.7905      -0.76870406       0.72997087        1.4698257       -2.4234858      -0.38404074        2.0192094
           5.5275          -8.4755          -4.7905      -0.78143054       0.77240181        1.1834018       -2.2473633      -0.33897495        2.0387506
           6.2645          -8.4755          -4.7905      -0.75415802       0.78816301       0.89880085       -2.0592334      -0.27756378        2.0433195
           7.0015          -8.4755          -4.7905      -0.69570541       0.78161472       0.63289726       -1.8678879      -0.19848958        2.0297787
           7.7385          -8.4755          -4.7905       -0.6195296       0.76023084       0.39269516       -1.6788592      -0.10458266        1.9989969
           8.4755          -8.4755          -4.7905      -0.53348738       0.72814906       0.18131475       -1.4947342     0.0017903112        1.9515165
           9.2125          -8.4755          -4.7905      -0.44390523       0.68864679      0.010748519       -1.3300031       0.10839553        1.8946662
           9.9495          -8.4755          -4.7905       -0.3562569        0.6443367     -0.072368406       -1.2430893       0.16854157          1.85934
          -9.9495          -7.7385          -4.7905       0.43666768      -0.70131767    -0.0031365352       -1.3604717      0.015143672        1.8867135
          -9.2125          -7.7385          -4.7905       0.54537821      -0.75677228      0.095224388       -1.4561254     -0.044918582        1.9156414
          -8.4755          -7.7385          -4.7905       0.65972936      -0.80926448       0.29852736        -1.638648      -0.14852014        1.9591637
          -7.7385          -7.7385          -4.7905       0.77285844      -0.85535842       0.55332553       -1.8448524      -0.24635385        1.9894389
          -7.0015          -7.7385          -4.7905       0.87622076      -0.89052618       0.84657019        -2.059233      -0.32491365        1.9994842
          -6.2645          -7.7385          -4.7905       0.95862222      -0.90879124        1.1753967       -2.2790732      -0.38110822        1.9884435
          -5.5275          -7.7385          -4.7905        1.0000564      -0.89912969        1.5317807       -2.4978595      -0.41190487        1.9555012
          -4.7905          -7.7385          -4.7905       0.98636138      -0.85435468        1.8929101        -2.703692      -0.42181519        1.9057273
          -4.0535          -7.7385          -4.7905       0.91744757      -0.77527523        2.2320709       -2.8854511      -0.42054009        1.8479152
          -3.3165          -7.7385          -4.7905       0.80137056      -0.66680241        2.5283794       -3.0351517       -0.4152362         1.789349
          -2.5795          -7.7385          -4.7905       0.64993036      -0.53579223        2.7688308       -3.1493032      -0.40992978        1.7355952
          -1.8425          -7.7385          -4.7905       0.47527903      -0.38929749         2.944001       -3.2269464      -0.40625113        1.6917664
          -1.1055          -7.7385          -4.7905       0.28859881      -0.23428893        3.0600088       -3.2750533      -0.40392566        1.6599485
          -0.3685          -7.7385          -4.7905      0.095751524     -0.074615747        3.1137078       -3.2956915      -0.40256819        1.6440208
           0.3685          -7.7385          -4.7905     -0.098565757      0.086182013        3.1139493       -3.2947986      -0.40183255        1.6436598
           1.1055          -7.7385          -4.7905      -0.29131058         0.245649        3.0567298       -3.2708056      -0.40186885        1.6600416
           1.8425          -7.7385          -4.7905      -0.47837451       0.40070024        2.9417663       -3.2215967      -0.40303484        1.6914039
           2.5795          -7.7385          -4.7905      -0.65275967       0.54670089        2.7646899       -3.1417186      -0.40595573         1.735695
           3.3165          -7.7385          -4.7905      -0.80482686       0.67776483        2.5252571       -3.0273123      -0.41079062        1.7897669
           4.0535          -7.7385          -4.7905      -0.92050582       0.78563482        2.2285972       -2.8768442      -0.41594654        1.8490113
           4.7905          -7.7385          -4.7905      -0.98956501       0.86449939        1.8900712       -2.6952972      -0.41735709        1.9076519
           5.5275          -7.7385          -4.7905       -1.0030088       0.90889007        1.5294015       -2.4897678      -0.40768182        1.9583358
           6.2645          -7.7385          -4.7905      -0.96112555       0.91812104        1.1735616       -2.2715199      -0.37713304        1.9922085
           7.0015          -7.7385          -4.7905      -0.87814242       0.89939272       0.84528261       -2.0523288      -0.32108554        2.0041263
           7.7385          -7.7385          -4.7905      -0.77413756       0.86373073       0.55256337       -1.8386381      -0.24254045        1.9948671
           8.4755          -7.7385          -4.7905      -0.66034698       0.81710941       0.29825866       -1.6331376      -0.14458081        1.9652625
           9.2125          -7.7385          -4.7905      -0.54534978       0.76405603      0.095377982        -1.451264     -0.040749714        1.9222509
           9.9495          -7.7385          -4.7905      -0.43603924        0.7080093    -0.0027691498        -1.355958      0.019475874        1.8935556
          -9.9495          -7.0015          -4.7905       0.51906079      -0.76575643      0.062817916       -1.4684135      -0.12573281        1.8944529
          -9.2125          -7.0015          -4.7905       0.65244079      -0.83488351       0.17577642       -1.5722694      -0.18354055        1.9155848
          -8.4755          -7.0015          -4.7905       0.79689252      -0.90381968       0.41091925       -1.7717735      -0.27902555        1.9426895
          -7.7385          -7.0015          -4.7905       0.94417465      -0.96828479       0.70896399       -1.9996135      -0.36059415        1.9514115
          -7.0015          -7.0015          -4.7905        1.0831374       -1.0222697        1.0564409       -2.2395923      -0.41307497        1.9350027
          -6.2645          -7.0015          -4.7905        1.1982844       -1.0574219        1.4512731        -2.489089      -0.43212402         1.892067
          -5.5275          -7.0015          -4.7905        1.2604735       -1.0577633        1.8849419       -2.7408068      -0.41423836        1.8217921
          -4.7905          -7.0015          -4.7905         1.247231       -1.0117199        2.3277783        -2.979284       -0.3691045        1.7322502
          -4.0535          -7.0015          -4.7905        1.1577238      -0.91975588        2.7428963       -3.1887803      -0.31483057        1.6368403
          -3.3165          -7.0015          -4.7905        1.0054604      -0.78967875        3.1020045       -3.3584039      -0.26464033        1.5462381
          -2.5795          -7.0015          -4.7905       0.80931079      -0.63210845        3.3888407        -3.483974      -0.22514872        1.4675369
          -1.8425          -7.0015          -4.7905       0.58760035      -0.45744061         3.593621        -3.565711      -0.19840798        1.4063097
          -1.1055          -7.0015          -4.7905       0.35461199      -0.27442187        3.7266269       -3.6138487      -0.18172888        1.3633168
          -0.3685          -7.0015          -4.7905       0.11700887     -0.087424912         3.787147       -3.6333377      -0.17394756        1.3423139
           0.3685          -7.0015          -4.7905      -0.12151591       0.10043075        3.7872963        -3.632133      -0.17305687        1.3419604
           1.1055          -7.0015          -4.7905      -0.35910904       0.28723678        3.7225213       -3.6087241      -0.17972052        1.3638226
           1.8425          -7.0015          -4.7905      -0.59251106       0.47026002        3.5906518       -3.5591345      -0.19493827         1.406351
           2.5795          -7.0015          -4.7905      -0.81403339       0.64438999        3.3835192       -3.4747798      -0.22115378        1.4683819
           3.3165          -7.0015          -4.7905       -1.0109949       0.80203003        3.0980289       -3.3490222      -0.26003155        1.5474375
           4.0535          -7.0015          -4.7905       -1.1628132       0.93139547        2.7385056       -3.1785958      -0.31029734        1.6389425
           4.7905          -7.0015          -4.7905       -1.2525647        1.0231482        2.3242352        -2.969476      -0.36481702        1.7352762
           5.5275          -7.0015          -4.7905       -1.2654896        1.0687654         1.881976       -2.7315035      -0.41036522        1.8258514
           6.2645          -7.0015          -4.7905       -1.2026885        1.0679438        1.4489605        -2.480511      -0.42864063        1.8971412
           7.0015          -7.0015          -4.7905       -1.0867409         1.032277        1.0547719       -2.2318285      -0.40982351        1.9410139
           7.7385          -7.0015          -4.7905      -0.94689786       0.97773975        0.7079035       -1.9926798      -0.35738838        1.9582477
