           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
            0.655           -0.393           -1.703       0.67698276      0.098275535        0.2755765    -0.0053240573        1.4242809       0.03255973
            0.917           -0.393           -1.703       0.17374988       0.12367415       0.26809296    -0.0075278785        1.4356996      0.035916146
            1.179           -0.393           -1.703      -0.17136653       0.15683909       0.22421511    -0.0096561322        1.2707808      0.030729519
           -1.179           -0.131           -1.703      -0.19677721       0.15563519     -0.034854501     0.0039404361       -1.3702924     -0.030195512
           -0.917           -0.131           -1.703       0.17027479       0.12207957     -0.053599887     0.0026212551       -1.5656314     -0.036747433
           -0.655           -0.131           -1.703        0.7183345      0.096316136     -0.063727073     0.0016018028       -1.5721364     -0.033665266
           -0.393           -0.131           -1.703        1.3539214      0.078936808     -0.054756746    0.00081930077       -1.2291294      -0.02294015
           -0.131           -0.131           -1.703        1.8139948       0.07040184     -0.022104265    0.00026100461      -0.47540087     -0.008036796
            0.131           -0.131           -1.703        1.8140093      0.070422955      0.022100508   -0.00024985176       0.47538677     0.0080608502
            0.393           -0.131           -1.703        1.3539186      0.078957528      0.054756068   -0.00082483649        1.2291429      0.022949811
            0.655           -0.131           -1.703       0.71833754      0.096320093      0.063727766    -0.0016073063        1.5721408      0.033659007
            0.917           -0.131           -1.703       0.17025983       0.12207629      0.053589672    -0.0026155862        1.5656189      0.036749419
            1.179           -0.131           -1.703      -0.19678058       0.15563869      0.034858588    -0.0039458531         1.370288      0.030178683
           -1.179            0.131           -1.703      -0.18213604         0.155266       0.17513523    -0.0031132041       -1.3716618     -0.030185154
           -0.917            0.131           -1.703       0.18816403       0.12160512       0.18803683    -0.0031833129       -1.5674447     -0.036751322
           -0.655            0.131           -1.703       0.74004036      0.095742583       0.17886975    -0.0026579136       -1.5742757     -0.033681706
           -0.393            0.131           -1.703        1.3793862      0.078309052       0.13402136    -0.0017133695       -1.2310222     -0.022959666
           -0.131            0.131           -1.703        1.8419616      0.069764204      0.050595496   -0.00059529406      -0.47616586    -0.0080617676
            0.131            0.131           -1.703        1.8419477      0.069763839     -0.050591089    0.00060682709       0.47617376     0.0080354204
            0.393            0.131           -1.703        1.3793919      0.078311555      -0.13401583     0.0017194118        1.2310269      0.022959579
            0.655            0.131           -1.703       0.74006891       0.09573213      -0.17887111     0.0026594384        1.5742811      0.033659648
            0.917            0.131           -1.703       0.18816566       0.12159691      -0.18803467     0.0031810617        1.5674458      0.036740154
            1.179            0.131           -1.703      -0.18213502       0.15525846      -0.17513111     0.0031159848        1.3716463       0.03017237
           -1.179            0.393           -1.703      -0.12882669       0.15561362       0.36025354    -0.0087590721       -1.2744292      -0.03071381
           -0.917            0.393           -1.703       0.22551021       0.12230676       0.39797258    -0.0079895845       -1.4405129     -0.035925291
           -0.655            0.393           -1.703       0.73931247      0.096641682       0.38653815    -0.0062696077       -1.4297976     -0.032585014
           -0.393            0.393           -1.703        1.3211217      0.079260893       0.29361334    -0.0039248341       -1.1063699     -0.022231307
           -0.131            0.393           -1.703         1.735447      0.070635118       0.11160412    -0.0013185928      -0.42521214    -0.0078155408
            0.131            0.393           -1.703         1.735407      0.070650756      -0.11158818     0.0013022242       0.42521363      0.007819429
            0.393            0.393           -1.703        1.3211219      0.079265922      -0.29360861     0.0039100824        1.1063635      0.022223381
            0.655            0.393           -1.703       0.73930538      0.096647225      -0.38653395     0.0062668864        1.4297994      0.032587059
            0.917            0.393           -1.703       0.22549194       0.12228347      -0.39797908     0.0079842201        1.4405169      0.035902999
            1.179            0.393           -1.703      -0.12880233       0.15562993      -0.36025447     0.0087530641        1.2744393      0.030702494
           -1.179            0.655           -1.703     -0.050807692       0.15593439       0.48485222     -0.010604749       -1.1045921     -0.031399064
           -0.917            0.655           -1.703       0.27010897       0.12342516       0.53117698     -0.010132225       -1.2229189      -0.03411391
           -0.655            0.655           -1.703       0.71394736      0.098453216       0.51009405    -0.0081578083       -1.1869248     -0.030297345
           -0.393            0.655           -1.703        1.1963626      0.081351571       0.38314876    -0.0051842011      -0.90013474     -0.020606674
           -0.131            0.655           -1.703        1.5298653      0.072741754       0.14457841     -0.001750852      -0.34169221    -0.0072566345
            0.131            0.655           -1.703        1.5298654       0.07274612       -0.1445844     0.0017692422          0.34169     0.0072591165
            0.393            0.655           -1.703        1.1963598      0.081349604       -0.3831498     0.0051840916       0.90013647      0.020610245
            0.655            0.655           -1.703       0.71395093      0.098448426      -0.51009303      0.008164282         1.186927       0.03029342
            0.917            0.655           -1.703        0.2701093       0.12343195      -0.53118163       0.01013948        1.2229174      0.034121539
            1.179            0.655           -1.703     -0.050815739       0.15593342      -0.48484302      0.010607859        1.1045935      0.031398509
           -1.179            0.917           -1.703      0.032270867       0.15471223       0.53786969    -0.0075537995      -0.90233165     -0.031582434
           -0.917            0.917           -1.703       0.30689973        0.1239312       0.57663399    -0.0086416993      -0.97176522     -0.031173563
           -0.655            0.917           -1.703       0.66538358       0.10018413       0.54087633    -0.0075587891      -0.91572225      -0.02672269
           -0.393            0.917           -1.703        1.0352912      0.083758287       0.39779538    -0.0050210468       -0.6764102      -0.01801268
           -0.131            0.917           -1.703        1.2814738      0.075358868       0.14816327    -0.0017371613      -0.25264534    -0.0063403896
            0.131            0.917           -1.703        1.2814748      0.075361148      -0.14817393     0.0017418081       0.25264022     0.0063438038
            0.393            0.917           -1.703         1.035293      0.083753586      -0.39779988      0.005019607         0.676413      0.018010436
            0.655            0.917           -1.703       0.66537887       0.10018986      -0.54087877     0.0075586177       0.91572046      0.026722437
            0.917            0.917           -1.703       0.30690125       0.12392763      -0.57663143     0.0086385682       0.97176737      0.031171957
            1.179            0.917           -1.703      0.032275029       0.15471448      -0.53787035     0.0075441957        0.9023307      0.031581216
           -1.179            1.179           -1.703       0.10435496       0.15076406       0.53098172    0.00014695572      -0.70367306     -0.030509945
           -0.917            1.179           -1.703        0.3264443       0.12268051       0.55311054    -0.0034212903      -0.73476511     -0.026964132
           -0.655            1.179           -1.703       0.59976935       0.10077404       0.50385839    -0.0041820966      -0.67054814     -0.021922017
           -0.393            1.179           -1.703       0.86699635      0.085409865       0.36135474    -0.0031465793      -0.48166451     -0.014466809
           -0.131            1.179           -1.703        1.0379721      0.077452429       0.13257892     -0.001146009      -0.17689598    -0.0050601861
            0.131            1.179           -1.703        1.0379702      0.077451348      -0.13258137      0.001146244       0.17689566      0.005063355
            0.393            1.179           -1.703       0.86699802       0.08540833      -0.36135733     0.0031489297       0.48166445       0.01446919
            0.655            1.179           -1.703       0.59977382       0.10077297      -0.50385964     0.0041837143       0.67054975      0.021921363
            0.917            1.179           -1.703       0.32644776       0.12268532      -0.55311334     0.0034184034       0.73476583      0.026965452
            1.179            1.179           -1.703        0.1043489       0.15076318      -0.53098357   -0.00014769216       0.70367265      0.030510996
           -1.179            1.441           -1.703       0.15711552        0.1435795       0.48759738      0.010844768      -0.53098363     -0.027514944
           -0.917            1.441           -1.703       0.32741126       0.11902888       0.49177694     0.0046746824      -0.53765136     -0.021346949
           -0.655            1.441           -1.703       0.52633649      0.099351406       0.43435556     0.0015956761      -0.47590867     -0.015991066
           -0.393            1.441           -1.703       0.71161371      0.085267909       0.30368894    0.00034143822      -0.33316883     -0.010119442
           -0.131            1.441           -1.703       0.82605731      0.077866413       0.10979226     1.590833e-05      -0.12052559    -0.0034865441
            0.131            1.441           -1.703       0.82605541      0.077868223      -0.10979221   -1.9958898e-05       0.12052844     0.0034826356
            0.393            1.441           -1.703       0.71161401      0.085267738      -0.30368727   -0.00034013225       0.33316922      0.010117933
            0.655            1.441           -1.703       0.52633286      0.099354051      -0.43435434     -0.001595736       0.47590888      0.015991727
            0.917            1.441           -1.703       0.32741004       0.11903286      -0.49177805    -0.0046743206       0.53765154      0.021344645
            1.179            1.441           -1.703       0.15711862       0.14357749       -0.4875969     -0.010847116       0.53098685      0.027512722
           -1.179            1.703           -1.703       0.18865436       0.13405308       0.43060553      0.022154883      -0.39621833     -0.022255674
           -0.917            1.703           -1.703       0.31435776       0.11327855       0.41986766      0.014114468      -0.39040002     -0.014331285
           -0.655            1.703           -1.703       0.45561722      0.095713101       0.35967222     0.0089103207      -0.33684874    -0.0091253249
           -0.393            1.703           -1.703       0.58237493      0.082691081        0.2454927     0.0050269966      -0.23097496     -0.005184148
           -0.131            1.703           -1.703       0.65858293      0.075709946      0.087562889     0.0016448084     -0.082566164    -0.0016935379
            0.131            1.703           -1.703        0.6585868      0.075709924     -0.087557822    -0.0016394014      0.082562096     0.0016975924
            0.393            1.703           -1.703       0.58237875      0.082694829      -0.24549149    -0.0050270613       0.23097683     0.0051817526
            0.655            1.703           -1.703       0.45561308      0.095711395      -0.35967171    -0.0089065637       0.33684918     0.0091261836
            0.917            1.703           -1.703       0.31435856       0.11327548      -0.41986802     -0.014116754       0.39039823      0.014332274
            1.179            1.703           -1.703       0.18865281       0.13405101      -0.43060336     -0.022156935       0.39621779      0.022258461
           -1.179           -1.703           -1.441      0.042864431        0.1461402      -0.47611785     -0.026566336      -0.44466087     -0.010675075
           -0.917           -1.703           -1.441       0.19704026        0.1215712      -0.48732406     -0.020713702      -0.45338655    -0.0048004105
           -0.655           -1.703           -1.441       0.37975422       0.10208966      -0.43453163     -0.015553355      -0.40340909    -0.0018154067
           -0.393           -1.703           -1.441       0.55137736      0.088269219      -0.30560276    -0.0098552052       -0.2833685   -0.00052423327
           -0.131           -1.703           -1.441       0.65786612      0.081038408      -0.11080262    -0.0033957851      -0.10267229   -8.9477195e-05
            0.131           -1.703           -1.441       0.65786678      0.081037939       0.11080201     0.0033916121       0.10267681    9.1895141e-05
            0.393           -1.703           -1.441       0.55137616      0.088268869       0.30560124     0.0098517621       0.28336808    0.00052552775
            0.655           -1.703           -1.441       0.37975049        0.1020918       0.43452647      0.015552665       0.40341407     0.0018171517
            0.917           -1.703           -1.441       0.19704753       0.12156755       0.48732415      0.020708296       0.45338741     0.0047990889
            1.179           -1.703           -1.441       0.04285989       0.14613856       0.47611612      0.026568951       0.44465926      0.010673091
           -1.179           -1.441           -1.441     -0.016239619       0.15268479      -0.56251687     -0.011079731      -0.62230885     -0.012135786
           -0.917           -1.441           -1.441       0.19573678        0.1264834       -0.6022262    -0.0084346971       -0.6576885    -0.0089804213
           -0.655           -1.441           -1.441       0.46254519       0.10682817        -0.560579    -0.0063149082       -0.6066708      -0.00659027
           -0.393           -1.441           -1.441       0.72816432      0.093385354      -0.40846881    -0.0040172702      -0.43942326    -0.0041427291
           -0.131           -1.441           -1.441       0.90021944      0.086494684      -0.15117401    -0.0013946664      -0.16214702    -0.0014287563
            0.131           -1.441           -1.441       0.90022045      0.086494297       0.15118244     0.0013905412       0.16214542     0.0014207623
            0.393           -1.441           -1.441        0.7281608      0.093386143        0.4084647      0.004016153        0.4394263     0.0041396436
            0.655           -1.441           -1.441       0.46253937       0.10682705       0.56057853     0.0063130511       0.60666984     0.0065898551
            0.917           -1.441           -1.441       0.19573903       0.12648463       0.60222548     0.0084290709        0.6576941     0.0089859162
            1.179           -1.441           -1.441     -0.016237125        0.1526871        0.5625155      0.011081196       0.62230927      0.012133481
           -1.179           -1.179           -1.441      -0.10949922       0.15521534      -0.63426548     0.0025677551      -0.86520755    -0.0096171973
           -0.917           -1.179           -1.441       0.16949898       0.12815295      -0.71130991     0.0015421546      -0.95389783     -0.010421329
           -0.655           -1.179           -1.441       0.55134469       0.10842013      -0.69436318    0.00070781074      -0.92040956    -0.0094578341
           -0.393           -1.179           -1.441       0.96259755      0.095166966       -0.5273788     0.0002232258      -0.69402784    -0.0065974942
           -0.131           -1.179           -1.441        1.2451832      0.088445403      -0.20017885    3.6510042e-05      -0.26251513    -0.0023671547
            0.131           -1.179           -1.441        1.2451837      0.088446997        0.2001684   -3.4896133e-05       0.26252419      0.002361333
            0.393           -1.179           -1.441       0.96259511       0.09516862       0.52737677   -0.00022364124       0.69403249     0.0065964255
            0.655           -1.179           -1.441       0.55134773       0.10842071       0.69436574   -0.00070791645       0.92040902     0.0094544012
            0.917           -1.179           -1.441       0.16949965        0.1281534       0.71131414    -0.0015458093       0.95389849      0.010421841
            1.179           -1.179           -1.441      -0.10950097       0.15521395        0.6342628    -0.0025736475       0.86520898     0.0096159549
           -1.179           -0.917           -1.441      -0.23495981       0.15341622      -0.65396035      0.011891831       -1.1624005    -0.0044482956
           -0.917           -0.917           -1.441        0.1097015        0.1266828      -0.76861519     0.0079278098        -1.339398    -0.0099531468
           -0.655           -0.917           -1.441       0.63028777       0.10729329      -0.78907663     0.0049873651       -1.3579375     -0.010908029
           -0.393           -0.917           -1.441        1.2446737      0.094334453      -0.62766659     0.0027146803       -1.0727392    -0.0081457002
           -0.131           -0.917           -1.441        1.6976818      0.087784886      -0.24535756    0.00085459527      -0.41812283    -0.0029882647
            0.131           -0.917           -1.441        1.6976812      0.087780736       0.24534795    -0.0008568929       0.41812652      0.002985809
            0.393           -0.917           -1.441        1.2446746      0.094329625       0.62766784    -0.0027185436        1.0727402     0.0081452494
            0.655           -0.917           -1.441       0.63028657       0.10729064       0.78907275    -0.0049820989        1.3579417      0.010909488
            0.917           -0.917           -1.441       0.10970365       0.12668042       0.76862031    -0.0079288092        1.3393983     0.0099498769
            1.179           -0.917           -1.441      -0.23496199        0.1534151       0.65395367     -0.011892728        1.1624007     0.0044465987
           -1.179           -0.655           -1.441      -0.37768742       0.14870587      -0.57823223      0.015213419       -1.4818698     0.0016644944
           -0.917           -0.655           -1.441      0.020732628       0.12323908       -0.7107507      0.010004626       -1.7783059    -0.0085169887
           -0.655           -0.655           -1.441       0.68647188       0.10459223       -0.7656334     0.0062755616       -1.8899614     -0.011470388
           -0.393           -0.655           -1.441        1.5472481      0.092051759      -0.63683677      0.003440273       -1.5635147    -0.0090491716
           -0.131           -0.655           -1.441        2.2288876      0.085709438      -0.25627202     0.0010945678      -0.62855697    -0.0033794087
            0.131           -0.655           -1.441        2.2288876      0.085711405        0.2562632    -0.0010909264       0.62855387     0.0033707728
            0.393           -0.655           -1.441        1.5472498      0.092047125       0.63683552    -0.0034383943        1.5635179     0.0090456167
            0.655           -0.655           -1.441       0.68647277       0.10459864       0.76562899    -0.0062796585        1.8899597      0.011461925
            0.917           -0.655           -1.441       0.02073244        0.1232406       0.71075636     -0.010004678        1.7783077     0.0085257106
            1.179           -0.655           -1.441       -0.3776859       0.14869969       0.57822692     -0.015216973         1.481872    -0.0016673432
           -1.179           -0.393           -1.441      -0.50460792       0.14344008      -0.38098156      0.012409281       -1.7624329     0.0069970298
           -0.917           -0.393           -1.441     -0.070110545        0.1194665      -0.49007964     0.0079640811       -2.1813524    -0.0069880849
           -0.655           -0.393           -1.441       0.72028965       0.10161327      -0.55141461     0.0048994739        -2.403568     -0.011572286
           -0.393           -0.393           -1.441        1.8190925       0.08952035      -0.47587883     0.0026507238       -2.0603414    -0.0094906548
           -0.131           -0.393           -1.441        2.7386305      0.083396979      -0.19582799    0.00082961615      -0.84841055    -0.0035810336
            0.131           -0.393           -1.441        2.7386396      0.083384395       0.19583631   -0.00081492617       0.84842384     0.0035809439
            0.393           -0.393           -1.441        1.8190835      0.089527681       0.47586831    -0.0026427477         2.060358     0.0094941258
            0.655           -0.393           -1.441       0.72029275       0.10162485       0.55140978    -0.0049095047        2.4035788      0.011539167
            0.917           -0.393           -1.441     -0.070102043       0.11947603       0.49007615     -0.007961994         2.181339     0.0069995546
            1.179           -0.393           -1.441      -0.50461853       0.14341658        0.3809855     -0.012412137        1.7624513    -0.0069678314
           -1.179           -0.131           -1.441      -0.57326925       0.13990016     -0.078683354      0.005010305       -1.9294307      0.010067993
           -0.917           -0.131           -1.441      -0.11940026        0.1169379      -0.12065914     0.0029748138       -2.4277825    -0.0060211322
           -0.655           -0.131           -1.441       0.74653685      0.099594936      -0.15240046     0.0016780994        -2.726434      -0.01147591
           -0.393           -0.131           -1.441        1.9973969      0.087750368      -0.14149015    0.00083545921        -2.379931    -0.0096615311
           -0.131           -0.131           -1.441        3.0733588      0.081743322     -0.060349993    0.00024503737      -0.99164838     -0.003657636
            0.131           -0.131           -1.441        3.0733569      0.081748426      0.060335889   -0.00026229621       0.99163389      0.003681615
            0.393           -0.131           -1.441        1.9973813       0.08775939       0.14148757   -0.00083282526        2.3799136     0.0096585248
            0.655           -0.131           -1.441       0.74652052      0.099585474       0.15239248    -0.0016797204         2.726439      0.011488379
            0.917           -0.131           -1.441       -0.1193772       0.11691806       0.12066068    -0.0029840304        2.4277899     0.0060140016
            1.179           -0.131           -1.441      -0.57326919       0.13989864      0.078683704    -0.0050172098        1.9294133     -0.010057498
           -1.179            0.131           -1.441      -0.55484372       0.13964669       0.26316276     -0.004011347       -1.9317901      0.010118437
           -0.917            0.131           -1.441     -0.095816106       0.11657968       0.30663276    -0.0030371731       -2.4314151    -0.0059923441
           -0.655            0.131           -1.441       0.77680981       0.09916959        0.3203983    -0.0021743076       -2.7313931      -0.01146845
           -0.393            0.131           -1.441        2.0354323      0.087293461       0.26289207    -0.0013143433        -2.385056    -0.0096485168
           -0.131            0.131           -1.441        3.1174707      0.081246085       0.10534909   -0.00046031762      -0.99403274    -0.0036694836
            0.131            0.131           -1.441        3.1174543      0.081254274      -0.10535823    0.00043866812       0.99401617     0.0036617247
