           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
                0           -4.716           -4.978   -0.00066350336   -1.5062378e-06      -0.29689294      0.075111516      -0.25771651       0.12149219
            0.524           -4.716           -4.978      0.054622192    -0.0062076873      -0.29259467      0.076675326      -0.25342819       0.11579669
            1.048           -4.716           -4.978       0.10553616     -0.011852531      -0.27983078      0.080288164      -0.24164598       0.10150923
            1.572           -4.716           -4.978       0.14581993     -0.016677227      -0.25630936      0.083318114       -0.2263103      0.087300926
            2.096           -4.716           -4.978       0.18107964     -0.021269957      -0.22821578      0.085118882       -0.2109824       0.07629402
             2.62           -4.716           -4.978       0.20498189     -0.028275216       -0.1934091      0.084375769      -0.20013486       0.07528843
            3.144           -4.716           -4.978       0.22451754     -0.036208026      -0.15602142       0.08265461      -0.19100988       0.07812804
            3.668           -4.716           -4.978        0.2317131      -0.04611044      -0.12241554      0.078324929      -0.18998188      0.089885741
            4.192           -4.716           -4.978       0.23628223     -0.056238417     -0.090738915      0.073425382      -0.18900193       0.10191535
            4.716           -4.716           -4.978       0.23029017     -0.066855207     -0.069248319      0.066202596        -0.184597       0.11152621
             5.24           -4.716           -4.978       0.21995984     -0.076515555     -0.052425899       0.06004582      -0.17964083       0.11858586
            5.764           -4.716           -4.978       0.20149212     -0.084381923     -0.044359602      0.055888552      -0.17365064       0.12086021
           -5.764           -4.192           -4.978       -0.2328686      0.098137222     -0.036771681      0.044979565      -0.16794263       0.11663367
            -5.24           -4.192           -4.978      -0.25735664      0.087973572     -0.043102086      0.046650782      -0.17467292       0.11597229
           -4.716           -4.192           -4.978      -0.27226049      0.076001033     -0.058047913       0.04922767      -0.18040368       0.11047427
           -4.192           -4.192           -4.978      -0.28205472      0.063064098     -0.077586889        0.0522874      -0.18560159        0.1023977
           -3.668           -4.192           -4.978      -0.27921829      0.051102623      -0.11030879      0.054562334        -0.188793      0.090881243
           -3.144           -4.192           -4.978      -0.27318186      0.039489269      -0.14562148      0.056630306      -0.19251405      0.079581469
            -2.62           -4.192           -4.978      -0.25159493      0.030434769      -0.18709187      0.057622667      -0.20772159      0.078678519
           -2.096           -4.192           -4.978      -0.22427331      0.022523805      -0.22595543      0.057833984      -0.22487287      0.081963837
           -1.572           -4.192           -4.978      -0.18203583       0.01758714      -0.25803867      0.056013823      -0.24707977      0.096142754
           -1.048           -4.192           -4.978      -0.13303337      0.012441907      -0.28536871      0.053004462      -0.26908419       0.11380407
           -0.524           -4.192           -4.978     -0.069883056     0.0065520289      -0.30011213      0.049216274      -0.28508726       0.13015403
                0           -4.192           -4.978   -0.00077676319    1.4210545e-06      -0.30523363      0.047558121      -0.29109564        0.1366176
            0.524           -4.192           -4.978      0.068327539    -0.0064836973      -0.30029166      0.049216554      -0.28522542       0.13009854
            1.048           -4.192           -4.978       0.13155842     -0.012386894      -0.28543109      0.052802455      -0.26916429       0.11338601
            1.572           -4.192           -4.978       0.18060207     -0.017508563      -0.25827014      0.056035474      -0.24732925      0.096011259
            2.096           -4.192           -4.978       0.22293541     -0.022450034       -0.2262062      0.057883307      -0.22511943      0.081818469
             2.62           -4.192           -4.978       0.25035942     -0.030360367      -0.18736902      0.057690848      -0.20802096      0.078525938
            3.144           -4.192           -4.978       0.27205124     -0.039412148      -0.14592773      0.056713954      -0.19288762      0.079424232
            3.668           -4.192           -4.978       0.27823585     -0.051082022      -0.11060245      0.054651473      -0.18926115       0.09069249
            4.192           -4.192           -4.978       0.28122199     -0.063104607     -0.077858709      0.052379366      -0.18616016       0.10217757
            4.716           -4.192           -4.978       0.27156702     -0.076103777     -0.058259971      0.049310606      -0.18101776       0.11023603
