           x [cm]           y [cm]           z [cm]       HxRe [A/m]       HxIm [A/m]       HyRe [A/m]       HyIm [A/m]       HzRe [A/m]       HzIm [A/m]
            0.393           -0.393           -1.703        1.4788861       0.04723525       0.34250665   -7.7325734e-05        1.1027598    -0.0040497868
            0.655           -0.393           -1.703       0.64960515      0.045538902       0.42035374   -0.00031253888        1.4232825    -0.0068250168
            0.917           -0.393           -1.703    -0.0024820585      0.042924698       0.40033084   -0.00062056701        1.4568044    -0.0095785577
            1.179           -0.393           -1.703      -0.33002082      0.038638141       0.36586636   -0.00086034974        1.3925406     -0.011076033
           -1.179           -0.131           -1.703      -0.37244433      0.037462682      -0.07889729    -0.0010601541       -1.5148805      0.011218693
           -0.917           -0.131           -1.703     -0.033168286      0.041939482     -0.094102889   -0.00095152209       -1.5971879     0.0097512733
           -0.655           -0.131           -1.703       0.67849153      0.044693597      -0.11060084   -0.00071798218       -1.5831592     0.0070010172
           -0.393           -0.131           -1.703        1.6173519      0.046497922     -0.096068904   -0.00046214106       -1.2403603     0.0041649984
           -0.131           -0.131           -1.703        2.6167426      0.047547989     -0.047526624   -0.00015225861      -0.55705655     0.0013611547
            0.131           -0.131           -1.703          2.61673      0.047529843      0.047560886    0.00016535888       0.55700785     -0.001449456
            0.393           -0.131           -1.703        1.6173334      0.046502639      0.096081585    0.00045002578        1.2403369    -0.0041743368
            0.655           -0.131           -1.703        0.6785115      0.044697914       0.11059611    0.00071323704        1.5831574     -0.007002986
            0.917           -0.131           -1.703     -0.033173174      0.041952766       0.09410008    0.00094711478        1.5971801    -0.0097638108
            1.179           -0.131           -1.703      -0.37243637       0.03746447      0.078896835     0.0010551636        1.5148752      -0.01122464
           -1.179            0.131           -1.703      -0.35613987      0.037145551        0.2451075    -0.0028858182       -1.5165509      0.011234906
           -0.917            0.131           -1.703     -0.012757659      0.041570898       0.25570819    -0.0024534808       -1.5991606     0.0097716283
           -0.655            0.131           -1.703       0.70430928      0.044279814       0.25016886    -0.0017040089       -1.5855502     0.0070158718
           -0.393            0.131           -1.703        1.6490853      0.046053279        0.1942763   -0.00097624573       -1.2424942     0.0041967537
           -0.131            0.131           -1.703        2.6542366      0.047052145      0.086369917   -0.00029787445      -0.55815357     0.0013945289
            0.131            0.131           -1.703        2.6542065      0.047073331     -0.086379893    0.00029873301       0.55820239    -0.0013655443
            0.393            0.131           -1.703        1.6490954      0.046052985      -0.19427364    0.00096006336        1.2424996    -0.0041727712
            0.655            0.131           -1.703       0.70431054      0.044268977      -0.25016505      0.001701918        1.5855396     -0.007009679
            0.917            0.131           -1.703     -0.012748247      0.041575391      -0.25570711      0.002454486        1.5991611    -0.0097614294
            1.179            0.131           -1.703      -0.35614055      0.037142783      -0.24510233     0.0028864914        1.5165521      -0.01122581
           -1.179            0.393           -1.703      -0.28265041       0.03765114       0.52633482    -0.0047156257       -1.3969533      0.011085879
           -0.917            0.393           -1.703      0.056593925      0.041789796       0.55625117    -0.0039527267        -1.461925     0.0095926765
           -0.655            0.393           -1.703       0.72366762      0.044297788       0.55506486    -0.0026723137       -1.4292611     0.0068374593
           -0.393            0.393           -1.703        1.5689306      0.045916568       0.43739858    -0.0015121382       -1.1080151     0.0040507084
           -0.131            0.393           -1.703        2.4473681      0.046867196       0.19816619   -0.00049330044      -0.49089956     0.0013667932
            0.131            0.393           -1.703        2.4474568      0.046943925      -0.19818833    0.00051126169       0.49091884    -0.0013513271
            0.393            0.393           -1.703        1.5689242      0.045920294      -0.43740487     0.0015126172        1.1080136    -0.0040487545
            0.655            0.393           -1.703       0.72367275      0.044284236      -0.55506611     0.0026670913        1.4292487    -0.0068308096
            0.917            0.393           -1.703      0.056588061      0.041803889      -0.55624664      0.003952051        1.4619206    -0.0095882826
            1.179            0.393           -1.703      -0.28265887      0.037651494      -0.52633512     0.0047122971        1.3969491     -0.011086402
           -1.179            0.655           -1.703      -0.17409435      0.039102111       0.70195383    -0.0065537826       -1.1898212      0.010788703
           -0.917            0.655           -1.703       0.14952466      0.042673811       0.73520851    -0.0054457495       -1.2270161     0.0092346882
           -0.655            0.655           -1.703       0.72396982      0.044758137       0.72050965    -0.0036230981       -1.1670409       0.00648541
           -0.393            0.655           -1.703        1.4008083      0.046131603       0.55948514    -0.0019885066      -0.88511151     0.0038041298
           -0.131            0.655           -1.703         2.070981      0.046890859       0.24811307   -0.00060538342      -0.38073972     0.0012742969
            0.131            0.655           -1.703        2.0710261      0.046874911      -0.24811064    0.00061363092       0.38069111    -0.0012410735
            0.393            0.655           -1.703         1.400806      0.046123024      -0.55947304     0.0019995943       0.88511801    -0.0038068495
            0.655            0.655           -1.703         0.723961      0.044760764      -0.72051042     0.0036230371          1.16704    -0.0064852601
            0.917            0.655           -1.703       0.14952506      0.042655032      -0.73521006     0.0054444773        1.2270076    -0.0092325862
            1.179            0.655           -1.703      -0.17409851      0.039100513      -0.70195657     0.0065510031        1.1898131     -0.010784646
           -1.179            0.917           -1.703      -0.07125432      0.041861337       0.72870433    -0.0083134482      -0.95880723        0.0102641
           -0.917            0.917           -1.703       0.22022064      0.044362254       0.74655163    -0.0068498659       -0.9726333     0.0086562689
           -0.655            0.917           -1.703       0.68429774      0.045761656       0.70202976    -0.0044890107       -0.8979674     0.0059387386
           -0.393            0.917           -1.703        1.1919247      0.046675455       0.52771676    -0.0024324099      -0.66518605     0.0033979344
           -0.131            0.917           -1.703        1.6692765      0.047190085        0.2244229   -0.00074308761       -0.2778019     0.0011054799
            0.131            0.917           -1.703        1.6692816      0.047183875       -0.2244197    0.00074221985       0.27778375     -0.001089409
            0.393            0.917           -1.703        1.1919241      0.046672087      -0.52771807     0.0024373997       0.66518629    -0.0033995952
            0.655            0.917           -1.703       0.68429339      0.045763157      -0.70202982     0.0044905581       0.89796388    -0.0059403684
            0.917            0.917           -1.703       0.22021924      0.044356704      -0.74655098     0.0068503097        0.9726277    -0.0086560231
            1.179            0.917           -1.703     -0.071258515      0.041862141      -0.72870189     0.0083129629       0.95880204     -0.010261125
           -1.179            1.179           -1.703      0.011628814      0.045446105       0.69520336    -0.0095960405      -0.74525559     0.0095988987
           -0.917            1.179           -1.703       0.26378751      0.046524897       0.69764709    -0.0078610834      -0.74266768     0.0079579996
           -0.655            1.179           -1.703       0.62326932      0.047051698         0.631751    -0.0050990293      -0.66414821     0.0053016837
           -0.393            1.179           -1.703       0.98747742      0.047393214       0.46069267    -0.0027376667      -0.47943163     0.0029400182
           -0.131            1.179           -1.703        1.3105632      0.047593351       0.18860218   -0.00082553952      -0.19390684    0.00092216866
            0.131            1.179           -1.703         1.310563      0.047592983      -0.18860224    0.00082159927       0.19390565   -0.00092274084
            0.393            1.179           -1.703       0.98747683      0.047391765       -0.4606978     0.0027369065        0.4794296    -0.0029408527
            0.655            1.179           -1.703       0.62326908      0.047052409      -0.63175136     0.0051026535       0.66414732    -0.0053050532
            0.917            1.179           -1.703       0.26378849       0.04652502      -0.69764656     0.0078637116       0.74266708    -0.0079611782
            1.179            1.179           -1.703      0.011629254       0.04544691      -0.69520146     0.0095985197       0.74525529    -0.0096008983
           -1.179            1.441           -1.703      0.071092159      0.049282394       0.61493289     -0.010148069      -0.56710708     0.0089024361
           -0.917            1.441           -1.703       0.28298408      0.048818182       0.60416722    -0.0082736835      -0.55486369     0.0072457148
           -0.655            1.441           -1.703       0.55345881      0.048419766       0.52710301    -0.0053233122      -0.48056141     0.0046649175
           -0.393            1.441           -1.703       0.80809271      0.048161622       0.37287593    -0.0028337152      -0.33788872     0.0024870594
           -0.131            1.441           -1.703        1.0207316      0.048024878       0.14722915   -0.00084497727      -0.13244691     0.0007478979
            0.131            1.441           -1.703        1.0207359        0.0480268       -0.1472207    0.00083530741       0.13244356    -0.0007518722
            0.393            1.441           -1.703       0.80809158      0.048159435      -0.37287599     0.0028310642        0.3378849    -0.0024882515
            0.655            1.441           -1.703       0.55345857      0.048419926      -0.52710414     0.0053279577       0.48056066    -0.0046664164
            0.917            1.441           -1.703       0.28298602      0.048817832      -0.60416859     0.0082774255       0.55486351    -0.0072470135
            1.179            1.441           -1.703      0.071094498      0.049282625      -0.61493516      0.010152028        0.5671069    -0.0089030145
           -1.179            1.703           -1.703      0.094971702      0.051652949       0.51330489     -0.009182401       -0.4804295      0.008476113
           -0.917            1.703           -1.703       0.28383088      0.050211921       0.49556518     -0.007448284      -0.46535286     0.0068215546
           -0.655            1.703           -1.703       0.51080662      0.049245294       0.41986084    -0.0047593615       -0.3961896     0.0042944569
           -0.393            1.703           -1.703       0.71662575      0.048622344       0.28991222    -0.0025100827      -0.27461922     0.0022266558
           -0.131            1.703           -1.703       0.88292491      0.048276339       0.11136778   -0.00074060995      -0.10588212    0.00064883038
            0.131            1.703           -1.703       0.88292933      0.048282407      -0.11136456    0.00074540154       0.10587828   -0.00065474154
            0.393            1.703           -1.703       0.71662456      0.048620574      -0.28991139     0.0025133418       0.27461544    -0.0022282861
            0.655            1.703           -1.703       0.51080573      0.049246863      -0.41986236     0.0047579221        0.3961893    -0.0042956895
            0.917            1.703           -1.703       0.28383276       0.05021416      -0.49556616     0.0074470807       0.46535254    -0.0068217381
            1.179            1.703           -1.703      0.094974831      0.051652372      -0.51330554     0.0091810599       0.48042849    -0.0084760534
           -1.179           -1.703           -1.441     -0.046548508       0.05327139      -0.51482689     0.0076837554       -0.5706358     0.0090927025
           -0.917           -1.703           -1.441       0.14485167       0.05336193      -0.50550592     0.0061807418      -0.56257433     0.0073497365
           -0.655           -1.703           -1.441       0.39411652      0.053314101      -0.44009057     0.0038944022      -0.49327862     0.0046526957
           -0.393           -1.703           -1.441       0.63062543      0.053288184      -0.31065643     0.0020285374      -0.35027051     0.0024240147
           -0.131           -1.703           -1.441       0.82935321      0.053291872      -0.12223683    0.00059671921      -0.13879621    0.00069755822
            0.131           -1.703           -1.441       0.82935321       0.05329112       0.12223452   -0.00059867225       0.13879718    -0.0007055059
            0.393           -1.703           -1.441       0.63062578      0.053288683       0.31065559    -0.0020234203       0.35026911    -0.0024251058
            0.655           -1.703           -1.441       0.39411658      0.053315479       0.44009069    -0.0038927882       0.49327746    -0.0046541123
            0.917           -1.703           -1.441        0.1448506       0.05336028       0.50550508    -0.0061807665       0.56257403    -0.0073498688
            1.179           -1.703           -1.441     -0.046551138      0.053269688       0.51482552     -0.007684764       0.57063526    -0.0090938322
           -1.179           -1.441           -1.441     -0.081472501      0.050574511      -0.63254696     0.0078349933      -0.69110739     0.0092784287
           -0.917           -1.441           -1.441       0.13424817      0.051549267      -0.63515514     0.0063146604      -0.69069034     0.0075671757
           -0.655           -1.441           -1.441        0.4372915      0.051998492      -0.57418346     0.0039793677      -0.62005967     0.0048746616
           -0.393           -1.441           -1.441       0.73928112      0.052286524      -0.41772848     0.0020642718      -0.44879445     0.0025935804
           -0.131           -1.441           -1.441        1.0034783      0.052458715      -0.17013629    0.00059810712      -0.18186471    0.00077019515
            0.131           -1.441           -1.441        1.0034801      0.052462433       0.17013125   -0.00059567142       0.18186741   -0.00077571394
            0.393           -1.441           -1.441       0.73928171      0.052286588       0.41772836    -0.0020609554       0.44879562    -0.0025944593
            0.655           -1.441           -1.441       0.43729246      0.051998686       0.57418346    -0.0039778324       0.62005967    -0.0048761619
            0.917           -1.441           -1.441       0.13424818      0.051547609       0.63515502    -0.0063134371       0.69069129    -0.0075675049
            1.179           -1.441           -1.441      -0.08147338        0.0505738       0.63254708    -0.0078337565       0.69110709    -0.0092793899
           -1.179           -1.179           -1.441      -0.16563344      0.046270933      -0.73075813      0.006610543      -0.94939697     0.0094342632
           -0.917           -1.179           -1.441      0.091282234       0.04857406      -0.75534874     0.0053367736      -0.97304666     0.0078151096
           -0.655           -1.179           -1.441        0.5071792       0.04979879      -0.71893573      0.003368468      -0.91375101     0.0051816734
           -0.393           -1.179           -1.441       0.96481019      0.050585829      -0.54468983     0.0017494931      -0.68549562     0.0028522578
           -0.131           -1.179           -1.441        1.3964179      0.051034126      -0.23301077    0.00050792075      -0.29011291    0.00088542304
            0.131           -1.179           -1.441        1.3964198      0.051037051       0.23300916   -0.00050510524       0.29011399   -0.00088791799
            0.393           -1.179           -1.441       0.96481168      0.050585307       0.54469424    -0.0017447057       0.68549728    -0.0028535977
            0.655           -1.179           -1.441       0.50718027      0.049798243       0.71893549    -0.0033682575       0.91375101    -0.0051833359
            0.917           -1.179           -1.441      0.091282874      0.048571877       0.75534874    -0.0053371331       0.97304714     -0.007816623
            1.179           -1.179           -1.441      -0.16563268      0.046271894       0.73075771    -0.0066114538       0.94939643    -0.0094369156
           -1.179           -0.917           -1.441      -0.28050619      0.042274415      -0.77400064     0.0047948221       -1.2724226     0.0094385976
           -0.917           -0.917           -1.441       0.01377362      0.045720175      -0.82450396     0.0038736395       -1.3364884     0.0079503898
           -0.655           -0.917           -1.441       0.56461686      0.047643974      -0.82956588     0.0024439883       -1.3132086     0.0054255654
           -0.393           -0.917           -1.441        1.2387526      0.048878793      -0.65610582     0.0012690864       -1.0208238     0.0030883481
           -0.131           -0.917           -1.441        1.9235225      0.049586199      -0.29686671    0.00037301524      -0.45237538    0.00098871673
            0.131           -0.917           -1.441        1.9235415      0.049594887       0.29686612    -0.0003681228       0.45238769    -0.0009806162
            0.393           -0.917           -1.441        1.2387538      0.048884276       0.65611088    -0.0012657109        1.0208315    -0.0030765466
            0.655           -0.917           -1.441       0.56461823      0.047639992        0.8295657    -0.0024442722        1.3132107    -0.0054265568
            0.917           -0.917           -1.441      0.013778489      0.045720994       0.82450342    -0.0038740372        1.3364935     -0.007951946
            1.179           -0.917           -1.441      -0.28050274      0.042277694       0.77400047     -0.004796668        1.2724245    -0.0094446829
           -1.179           -0.655           -1.441      -0.42062652      0.039213285      -0.74323773     0.0026471149       -1.6374201     0.0092570698
           -0.917           -0.655           -1.441      -0.10004091      0.043406844      -0.81992555     0.0021303361       -1.7588398     0.0079285018
           -0.655           -0.655           -1.441        0.5957126      0.045837127      -0.87997931     0.0013302162       -1.8015286     0.0055583534
           -0.393           -0.655           -1.441         1.539475      0.047396909      -0.73013622    0.00067814917       -1.4452699     0.0032618963
           -0.131           -0.655           -1.441        2.5614402      0.048295397      -0.35208958    0.00019281474      -0.66735524     0.0010599736
            0.131           -0.655           -1.441        2.5614619      0.048332557       0.35209841   -0.00020725536       0.66738737    -0.0010298032
            0.393           -0.655           -1.441        1.5394747      0.047413319       0.73014617   -0.00068666157        1.4452856    -0.0032303138
            0.655           -0.655           -1.441       0.59571624      0.045827311       0.87997919    -0.0013301263        1.8015305    -0.0055578146
            0.917           -0.655           -1.441      -0.10003392      0.043412104       0.81992465    -0.0021296144        1.7588485    -0.0079284171
            1.179           -0.655           -1.441      -0.42061931      0.039215874       0.74323893    -0.0026474814        1.6374209    -0.0092655364
           -1.179           -0.393           -1.441       -0.5614655      0.037466515      -0.50655717     0.0006370414       -1.9845784     0.0090091908
           -0.917           -0.393           -1.441      -0.23506901      0.041945342      -0.57408595    0.00047374377       -2.1757367     0.0078114173
           -0.655           -0.393           -1.441       0.58539712      0.044596329       -0.6457836    0.00024411613       -2.3181596     0.0055823806
           -0.393           -0.393           -1.441        1.8198533      0.046346739      -0.55433387    9.3368304e-05       -1.9172605     0.0033358932
           -0.131           -0.393           -1.441        3.2437332       0.04736343      -0.28030437   -1.7689914e-05       -0.9251048      0.001134632
            0.131           -0.393           -1.441         3.243753      0.047297135       0.28035218    3.6471683e-05       0.92513925    -0.0011188617
            0.393           -0.393           -1.441        1.8198582      0.046350863       0.55435568   -7.3486022e-05        1.9172753    -0.0033209161
            0.655           -0.393           -1.441       0.58540106      0.044616546       0.64577991    -0.0002499432        2.3181612    -0.0055925441
            0.917           -0.393           -1.441      -0.23506877      0.041930925       0.57408619   -0.00046889202        2.1757281    -0.0078140618
            1.179           -0.393           -1.441      -0.56146038      0.037462503       0.50655431    -0.0006332958        1.9845657    -0.0090122521
           -1.179           -0.131           -1.441      -0.63949835      0.036514122      -0.12175194    -0.0011844115       -2.1927505     0.0088251848
